decimalLatitude,decimalLongitude
-25.375,30.375
-25.375,28.375
-25.375,30.875
-25.375,30.875
-25.375,30.625
-25.375,30.875
-25.375,30.875
-25.375,30.375
-25.375,29.375
-25.375,29.375
-25.375,29.375
-25.17,31.27
-25.125,29.375
-25.125,29.375
-25.125,29.375
-25.125,29.625
-25.125,31.375
-24.875,31.125
-24.875,29.375
-24.625,31.125
-24.625,31.125
-24.625,31.375
-24.375,30.625
-24.375,30.625
-24.125,30.125
-24.125,30.125
-23.875,30.125
-23.875,30.125
-23.875,29.375
-23.65362,30.21665
-23.625,30.125
-23.625,30.375
-23.125,30.375
-23.125,29.875
-23.125,30.375
-23.125,30.125
-23.125,30.125
-23.125,29.875
-23.125,26.875
-23.125,30.125
-23.125,29.875
-23.125,29.875
-23.125,29.875
-22.875,30.625
-22.875,30.375
-22.875,29.375
-22.625,17.125
-21.875,31.375
-21.875,31.375
-20.78722,33.075011
-20.78722,33.075011
-20.625,30.625
-20.625,30.375
-20.625,30.625
-20.583333,31.583333
-20.5,22.67
-20.5,22.67
-20.422435,32.770864
-20.422435,32.770864
-20.422435,32.770864
-20.4,28.3
-20.395953,33.245497
-20.28333,44.45
-20.28333,44.45
-20.25,30.916667
-20.2,28.616667
-19.98,23.42
-19.971389,33.398333
-19.875,23.375
-19.83442,23.57785
-19.60517,23.32749
-19.60404,23.29878
-19.54988,34.62198
-19.54988,34.62198
-19.53293,22.24659
-19.50718,22.24518
-19.5,29.866667
-19.333333,30.6
-19.269166,34.212776
-19.269166,34.212776
-19.262219,34.22708
-19.125,22.375
-19.125,22.375
-18.966045,32.884575
-18.95,32.55
-18.53073,25.64314
-18.41864,22.0251
-18.375,22.125
-18.133333,32.866667
-18.125,24.125
-18.006944,16.169167
-17.964443,34.390554
-17.916667,25.85
-17.875,24.375
-17.82517,31.03351
-17.82,25.15
-17.625,24.375
-17.625,18.625
-17.617184,33.362772
-17.617184,33.362772
-17.617184,33.362772
-17.488889,35.239722
-17.41667,14.2
-17.25,14.12
-17.2,29.15
-17.083333,29.033333
-16.783333,30.933333
-16.516667,27.333333
-16.467918,36.383049
-16.467918,36.383049
-16.1792,15.76185
-16.01,15.11
-16.01,15.11
-15.85,35.58333
-15.84,35.71
-15.84,35.73
-15.833333,35.6
-15.83,35.73
-15.783333,28.266667
-15.7275,27.77691
-15.7,35.116667
-15.64796,15.20047
-15.64796,15.20047
-15.57024,28.2702
-15.57024,28.2702
-15.566667,28.266667
-15.566667,28.233333
-15.562222,33.289722
-15.562222,33.289722
-15.562222,33.289722
-15.533333,27.966667
-15.408056,28.287222
-15.377222,35.3475
-15.366667,28.583333
-14.85,34.6
-14.748215,34.251963
-14.748215,34.251963
-14.324125,34.518914
-14.324125,34.518914
-14.324125,34.518914
-14.324125,34.518914
-14.051351,39.91984
-14,13.116667
-13.966667,33.783333
-13.780496,39.83284
-13.0882,40.3385
-13,14.23
-12.76024,34.980125
-11.733333,27.433333
-11.15,33.633333
-11.133266,33.651724
-11.133266,33.651724
-11.133266,33.651724
-11.08,27.08
-10.70286,40.20325
-10.7,38.783333
-9.5,15.816667
-9.29,14.49
-9.283333,33.65
-9.283333,33.65
-9.283333,33.65
-9,26.75
-8.926945,39.041842
-8.926872,39.041715
-8.9,33.333333
-8.875,33.375
-8.875,33.375
-8.85,33.28333
-8.83333,33.33333
-8.78333,33.25
-8.65,26.516667
-8.4875,31.50306
-8.375,31.625
-8.375,31.375
-8.35,38.93333
-8.31583,38.96083
-8.23333,35.11666
-8.016667,31.9
-8,38.8
-7.81297,36.96536
-7.75,34.583333
-7.716667,34.916667
-7.683333,34.666667
-7.66666,35.33333
-7.625,35.375
-7.6,37
-7.5,35
-7.45305,31.66888
-7.42713,24.15805
-7.233333,35.433333
-6.766667,39.2
-6.74055,30.98083
