number,species,lat,long
1,V. sieberiana,8.71277,1.734391
1,V. sieberiana,7.19156,1.73505
1,V. sieberiana,11.12706,1.73581
1,V. sieberiana,7.19197,1.73627
1,V. sieberiana,7.19198,1.7363
1,V. sieberiana,7.19205,1.73652
1,V. sieberiana,7.19211,1.73671
1,V. sieberiana,9.78747,1.74618
1,V. sieberiana,9.685852,1.74948
1,V. sieberiana,11.1,1.75
1,V. sieberiana,11.1,1.75
1,V. sieberiana,11.1,1.75
1,V. sieberiana,8.86245,1.75073
1,V. sieberiana,9.70685,1.756519
1,V. sieberiana,9.69654,1.76305
1,V. sieberiana,9.69673,1.76362
1,V. sieberiana,9.69711,1.76474
1,V. sieberiana,9.69727,1.76524
1,V. sieberiana,9.6974,1.76562
1,V. sieberiana,12.133333,1.766667
1,V. sieberiana,9.69776,1.76668
1,V. sieberiana,9.69776,1.76668
1,V. sieberiana,9.89011,1.778274
1,V. sieberiana,8.3591,1.78832
1,V. sieberiana,7.768989,1.80883
1,V. sieberiana,7.746896,1.815429
1,V. sieberiana,9.567377,1.818067
1,V. sieberiana,7.126612,1.826779
1,V. sieberiana,7.735628,1.835408
1,V. sieberiana,7.75567,1.849054
1,V. sieberiana,9.846969,1.852957
1,V. sieberiana,7.03767,1.855221
1,V. sieberiana,11.3967,1.85653
1,V. sieberiana,11.39672,1.85661
1,V. sieberiana,11.39684,1.85697
1,V. sieberiana,11.39778,1.85977
1,V. sieberiana,11.25315,1.86048
1,V. sieberiana,11.38939,1.86178
1,V. sieberiana,11.25379,1.8624
1,V. sieberiana,11.39941,1.86468
1,V. sieberiana,11.38828,1.86749
1,V. sieberiana,6.77551,1.87077
1,V. sieberiana,6.78539,1.87325
1,V. sieberiana,6.7855,1.87357
1,V. sieberiana,7.180868,1.87392
1,V. sieberiana,6.78569,1.87414
1,V. sieberiana,6.78602,1.87512
1,V. sieberiana,7.04869,1.87566
1,V. sieberiana,11.081144,1.876107
1,V. sieberiana,7.45375,1.8779
1,V. sieberiana,6.78703,1.87813
1,V. sieberiana,7.46299,1.87848
1,V. sieberiana,7.4541,1.87896
1,V. sieberiana,7.31834,1.879
1,V. sieberiana,7.31835,1.87903
1,V. sieberiana,7.31882,1.88042
1,V. sieberiana,7.31885,1.88052
1,V. sieberiana,7.46391,1.88122
1,V. sieberiana,7.31941,1.88218
1,V. sieberiana,6.77947,1.88257
1,V. sieberiana,7.32023,1.88462
1,V. sieberiana,6.78666,1.88601
1,V. sieberiana,11.045784,1.892151
1,V. sieberiana,11.044423,1.893154
1,V. sieberiana,11.058369,1.898924
1,V. sieberiana,11.380194,1.903028
1,V. sieberiana,11.380167,1.904444
1,V. sieberiana,9.128329,1.90577
1,V. sieberiana,11.379778,1.905833
1,V. sieberiana,9.125702,1.907056
1,V. sieberiana,9.125329,1.907076
1,V. sieberiana,9.531316,1.907395
1,V. sieberiana,9.122887,1.907502
1,V. sieberiana,9.124455,1.907878
1,V. sieberiana,7.056746,1.908887
1,V. sieberiana,11.065862,1.910531
1,V. sieberiana,7.185036,1.91073
1,V. sieberiana,9.130892,1.911584
1,V. sieberiana,9.129611,1.911611
1,V. sieberiana,9.120696,1.912028
1,V. sieberiana,7.02433,1.912113
1,V. sieberiana,9.418471,1.917431
1,V. sieberiana,11.362194,1.91825
1,V. sieberiana,11.358361,1.921056
1,V. sieberiana,8.276516,1.922418
1,V. sieberiana,8.251573,1.939644
1,V. sieberiana,8.44064,1.9416
1,V. sieberiana,8.263682,1.942762
1,V. sieberiana,10.922191,1.942799
1,V. sieberiana,7.434882,1.94363
1,V. sieberiana,11.321086,1.95165
1,V. sieberiana,7.535295,1.953205
1,V. sieberiana,7.533831,1.953671
1,V. sieberiana,9.101747,1.954497
