Lat,Long
-26.70712,15.23168
-26.625,23.625
-26.625,25.625
-26.62,15.12
-26.62,21.68
-26.600833,16.074167
-26.583446,18.131554
-26.545117,20.611615
-26.472356,20.611311
-26.471483,20.611742
-26.467808,20.612453
-26.467808,20.612453
-26.467808,20.612453
-26.467808,20.612453
-26.433361,20.638815
-26.125,26.125
-26.125,20.375
-26.125,26.125
-25.92148,16.263033
-25.902822,19.325325
-25.898003,19.33055
-25.875,25.625
-25.787852,18.080057
-25.68701,28.272321
-25.625,28.375
-25.625,28.125
-25.625,28.125
-25.625,26.625
-25.625,28.125
-25.625,20.125
-25.625,28.375
-25.42079,20.59716
-25.375,28.375
-25.375,28.375
-25.375,25.875
-25.2481,20.4893
-25.125,17.875
-25.125,29.375
-25.125,28.375
-25.125,28.375
-25.125,28.375
-25.11,16
-25.11,16
-24.953,16.339
-24.875,29.375
-24.822213,28.955862
-24.82122,18.778193
-24.766496,15.292414
-24.766277,15.292408
-24.759341,15.292368
-24.7589,15.2926
-24.752768,15.803833
-24.749241,15.330611
-24.747822,15.291289
-24.743136,15.289236
-24.743136,15.289236
-24.741177,15.28911
-24.740966,15.288661
-24.740433,15.288522
-24.7403,15.2916
-24.740229,15.287263
-24.73944,15.305993
-24.73926,15.28855
-24.739119,15.287973
-24.733974,15.310451
-24.730265,15.32223
-24.72988,15.32049
-24.729681,15.314255
-24.727028,15.473392
-24.723834,15.470872
-24.723494,15.470981
-24.720771,15.470241
-24.7186,15.4719
-24.683722,15.55662
-24.677778,28.660833
-24.65698,23.60053
-24.6455,15.6517
-24.645182,15.651936
-24.6451,15.6519
-24.645,15.652
-24.625,28.625
-24.625,15.375
-24.625,15.375
-24.625,28.625
-24.625,15.375
-24.625,15.375
-24.62,15.37
-24.62,15.37
-24.62,15.37
-24.56404,24.14714
-24.519525,15.757096
-24.5,29.5
-24.5,16.37
-24.5,16.37
-24.5,16.37
-24.5,16.37
-24.5,16.37
-24.5,16.37
-24.49326,23.91784
-24.48707,15.800314
-24.486705,15.849374
-24.485827,15.799809
-24.483548,15.80239
-24.48333,15.802448
-24.483242,15.802588
-24.483123,15.802482
-24.48,16.336
-24.48,16.336
-24.47926,16.33558
-24.47926,16.33558
-24.458959,16.316852
-24.458923,16.31674
-24.444,16.17
-24.420533,19.822091
-24.41339,23.39025
-24.375,28.125
-24.375,26.125
-24.37,16.12
-24.37,16.12
-24.291403,18.025472
-24.274197,16.235218
-24.24672,23.89984
-24.245,26.155
-24.237161,18.028181
-24.198293,16.08647
-24.1738,23.18204
-24.15796,23.92443
-24.1323,24.62029
-24.125,29.125
-24.125,29.125
-24.125,29.125
-24.125,29.125
-24.125,28.875
-24.11231,24.97308
-24.09371,24.55904
-24.09221,23.35779
-24.05855,23.05891
-24.04778,27.18636
-24.01144,24.27115
-24.00627,17.970865
-23.98732,23.93852
-23.89723,22.95062
-23.875,27.875
-23.75197,22.85505
-23.73,22.82
-23.625,15.125
-23.625,15.125
-23.625,15.125
-23.625,26.375
-23.625,17.125
-23.625,28.625
-23.625,15.125
-23.615984,16.525777
-23.615984,16.525777
-23.59661,27.56
-23.5958,15.8398
-23.5958,15.8398
-23.5958,15.8398
-23.5958,15.8398
-23.566387,15.03629
-23.54758,27.42833
-23.53442,27.69767
-23.52772,27.08399
-23.500372,17.128231
-23.38161,27.80464
-23.38,15.53
-23.375,28.625
-23.340146,16.333648
-23.304747,15.493037
-23.3046,15.4919
-23.30299,15.49283
-23.302591,14.822243
-23.25,26.7
-23.25,26.7
-23.227936,16.363828
-23.182708,14.650263
-23.165444,14.641695
-23.161691,14.625912
-23.1375,14.596944
-23.125,14.625
-23.125,26.875
-23.055,14.9891
